web-scraper-order,web-scraper-start-url,reviewer_name,review_date,place,rating,review_text
"1758902049-1","https://www.yelp.com/biz/saigon-cafe-saint-louis","Jo Nell R.","Aug 29, 2025","Saint Louis, MO","5 star rating","This was a great experience.  I had been wanting to visit after having a Mixed By Eddie cocktail at an event and loved it!  I purchased a bottle at the event and was sad when it was gone.  I read that Saigon Cafe served his cocktails that he was their mixologist. 

Finally made it in Thursday evening.  One of the staff welcomed us in and we advised we were there for cocktails so he got is settled in.  The bar is fairly small and so pretty, the whole place was very nice.  I was a little envious of the diners close to the window wall that was open to the beautiful night.  

We had already eaten dinner, so we sat at the bar and reviewed the cocktail menu.  Jimmy was behind the bar and he was fabulous!  He talked to us and the couple next to us the whole time and had a vast knowledge of the cocktails and ingredients.  I ended up with one cocktail and decide to order the Shrimp dumplings to give some food a try, too.  The drink was so good, a Cherry Rocher Old Fashioned that Jimmy assured me wouldn't be whisky forward and it was perfect!  Loved the short glass and large, square ice cube. 

I love pork Pot Stickers but hadn't had a shrimp dumpling before.  I will now order them again when I return to give more drinks and dinner a try.  They were just the right amount of dough to filling, nicely fried but still the dough texture.  I am a sauce person, and the accompanying sauce was perfect for the dumplings.

Great spot with street parking, a pretty interior, great appetizer, superb drink, and Jimmy was the star behind the bar. 

Also took home another bottle Made By Eddie."
"1758902049-2","https://www.yelp.com/biz/saigon-cafe-saint-louis","Drew W.","Jul 19, 2025","Saint Louis, MO","4 star rating","Came here with my wife for dinner. We were greeted and seated immediately. Our server was very pleasant and helpful with selecting items. This was my wife's first time here, but i've been here before and gotten Vietnamese coffee here and FELL IN LOVE. 

We ordered chicken wings, my main dish was seafood fried rice, and my wife got the lemongrass chicken. My seafood fried rice was just ok. My wife loved her lemongrass chicken. The chicken wings were delicious, just overpriced; $14 for 4 wingettes. Will still come back and try other food."
"1758902049-3","https://www.yelp.com/biz/saigon-cafe-saint-louis","Austin S.","Jun 28, 2025","Brentwood, MO","5 star rating","Perfect patio, INCREDIBLE service, and some dang good eats.

Saigon has been on the hit list for ages, finally, my craving has been satiated. Before I get to food I must share how superb the service was. We walked in and before we were greeted with words we were greeted with smiles. 3 workers raced to greet us and get us seated. They were polite, enthusiastic, and gave some great recs. I believe christina(hope im spelling that correctly) was our server. Absolutely phenomenal, soft spoken but convicted. Gave us quick service and helped us pace/decide on our meal!

The patio is awesome for people watching. It is peaceful, and the world moves a bit slower inside that fence.

Calamari, lemon grass chicken, salmon rolls. Get it all. The lemongrass chicken was a favorite. The sauce was slightly sweet, but not overpowering and super light. The mint lemon sauce on the calamari was perfect. 

I'd love to go back today, tomorrow, and for the rest of history"
"1758902049-4","https://www.yelp.com/biz/saigon-cafe-saint-louis","Lucy M.","Jul 29, 2025","Ballwin, MO","4 star rating","I wanted to come here to get pho for a while. Finally we made it on the Lantern Festival. The place is packed and most tables are booked. We were lucky to get a small table without waiting.  The price seems a little high compared to with a few other  Vietnamese restaurants.  We ordered noodles and fried rice.  Portions were generous. I actually really like it so did my friends. I like it more than Pho Grand.  My friend got a big bowl of noodles and had so much beef! Great place!"
"1758902049-5","https://www.yelp.com/biz/saigon-cafe-saint-louis","Christy A.","Dec 3, 2024","Saint Louis, MO","5 star rating","Welcoming! Which is appreciated after having to fight with the parking on Euclid. I was greeted with a smile and seated promptly.  Lunch specials were tempting so I opted for the fresh spring roll with grilled salmon....knocked my socks off. Two large rice paper wrapped rolls filled with fresh vegetables & delicious grilled salmon portion.  The accompanying sauce was a great touch but not necessary because the roll itself packed a mean flavor punch.  

Moving on....the Pho was top tier. Opted for the vegetable version which is served in a chicken broth. Fresh, hot, flavorful & plentiful. Good Pho is hard to find around town these days; Saigon did NOT disappoint. 

~Christy approved."
"1758902049-6","https://www.yelp.com/biz/saigon-cafe-saint-louis","Truc L.","Jan 7, 2025","Dallas, TX","5 star rating","Amazing egg rolls in town. Nice and clean restaurant with good customer service.
They have a bar with Asian drinks and coffee with bakery."
"1758902049-7","https://www.yelp.com/biz/saigon-cafe-saint-louis","Tonya G.","Sep 21, 2025","Independence, MO","5 star rating","Everything!  Service, selection and location. So good I went 2x in one week. Not sure what else to add. Looking forward to going back again."
"1758902049-8","https://www.yelp.com/biz/saigon-cafe-saint-louis","Michele F.","Sep 8, 2025","Saint Louis, MO","5 star rating","The best service - patio is very dog friendly and the staff clearly loves animals. My fav thing was the crispy spring rolls and the chicken wings. But honestly - such a beautiful and comfortable place to have dinner."
"1758902049-9","https://www.yelp.com/biz/saigon-cafe-saint-louis","Ernie B.","Jul 21, 2025","Ballwin, MO","5 star rating","Food is great. I had the Com Chien and was delicious. Service is great and wait staff are very courteous."
"1758902049-10","https://www.yelp.com/biz/saigon-cafe-saint-louis","Marie M.","Jul 4, 2025","Lee's Summit, MO","1 star rating","This was a horrible disappointment.  We had come by last Wednesday after finding out the place opens at 4 PM, we figured we would come back by for dinner. The place is supposed to close by 9, and we arrived at 8:10, and I believe that the waitress didn't want to wait on us but basically turned us away.  When we asked about seating indoors because of the heat, she said they the kitchen closes at 8:15, but that we could order takeout? Seriously? It didn't make any sense so we left. Too bad because I would have liked to have tried Vietnamese food."
