web-scraper-order,web-scraper-start-url,reviewer_name,review_date,place,rating,review_text
"1758902186-1","https://www.yelp.com/biz/tikka-tangy-saint-louis","Nancy Y.","Sep 3, 2025","Staten Island, NY","5 star rating","They were busy when we went but they were still very nice and attentive. Communicated that they were really busy and catching up on orders and that it will take a little while to take our order. Which was okay because we were busy chatting anyways. The ambiance is nice and cozy inside.

The appetizers were great! We got the samosa Chana chat street food, cauliflower bites. Garlic and butter nans were great! 

For entrees we got butter chicken and paneer tikka masala. They were decent but not the best that I've had. Not as flavorful as these dishes usually are. 

I would come back and do recommend this place!"
"1758902186-2","https://www.yelp.com/biz/tikka-tangy-saint-louis","Robert B.","Jul 16, 2025","Kirkwood, MO","4 star rating","This is a new location for this chain. We came on a Saturday and it was packed, sadly it was also a training day for the team, so service was not good.

BUT the food is wonderful!

The exterior is mirrored and the signage is a temp one, so it was hard to tell if we were in the right place.

Once inside, we sat at one of the high top tables and got water. Disposable cups and we had to repeatedly ask for refills during our stay.

But that food!

We ordered 2 different appetizers and a pizza.

Only 1 app came out and the pizza showed up soon after. Both were flavorful and spicy! We had to ask for cutlery and then ordered a rose boba tea to try and have something to drink. (Again, water refills were tough to get, they were running around very busy!)

Turns out the rose and strawberry boba are the same, which was a surprise. Bill came out eventually and we paid at the table.

Suggestions to the owners/managers!

If you remove the high top table by the door (the one directly in the air vent that can't balance right) and added a station for people to get their own water, to go boxes and cutlery, you would save your team a lot of running around and let the customers handle it for them. 

I'd also suggest having 1 person dedicated as the food runner/dining room attendant, 1 on orders and everyone else in the kitchen.

Food was great and with a little training and tweets, this place will be around and successful for a long time!

Menu had all kinds of stuff to try, looking forward to another visit!"
"1758902186-3","https://www.yelp.com/biz/tikka-tangy-saint-louis","Alysia P.","Jun 7, 2025","Saint Louis, MO","5 star rating","Went here yesterday with my mom . This place is a hidden jewel . The customer service was really good , the food was good and fresh . And I loved my mango smoothie . I ordered chicken masala . 

Mom had to use the bathroom which she said was very clean . The restaurant itself was clean . The ambiance was nice too. There were a lot of door dash orders and now I see why . 

I will definitely go back again ."
"1758902186-4","https://www.yelp.com/biz/tikka-tangy-saint-louis","Stefan B.","Sep 13, 2025","Grand Rapids, MI","5 star rating","What a pleasant surprise on a business trip!  Creative menu and very customizable, excellent quality and very attentive staff, all for a very reasonable price.  We will be back next time thru St. Louis!"
"1758902186-5","https://www.yelp.com/biz/tikka-tangy-saint-louis","Scott W.","Jul 16, 2025","Saint Louis, MO","5 star rating","I've been curious about this place for a minute so I finally gave them a shot. Holy cow!! I love pizza and I love chicken tikka masala, so I tried the tikka masala pizza with chicken. The waiter was super helpful and suggested a few more toppings since it comes with 6 standard. He added green peppers, red peppers, onions, cilantro and tomatoes.
It was amazing!! Can't wait to try some more menu items."
"1758902186-6","https://www.yelp.com/biz/tikka-tangy-saint-louis","Madhura J.","Jul 2, 2025","Saint Louis, MO","5 star rating","Really cute spot in CWE with Indian and Middle Eastern food . I ordered the samosas and aloo tikki chat to go . They were delicious and perfectly spiced per my stated preference. Really hard to find authentic chat preparations outside India so I was thrilled! The server who took was order was very courteous and even offered me water though it was just a to go order . I will be back and try some more food ."
"1758902186-7","https://www.yelp.com/biz/tikka-tangy-saint-louis","La Salle H.","Jul 28, 2025","Bellefontaine Neighbors, MO","5 star rating","I'm from California (but now stay in STL) & had 2 spots that I loved out there. One in Venice & the other in Pasadena. This spot beats both of them! The food was absolutely amazing and the staff is genuinely very nice. Tikka Tangy will definitely be a regular date night spot for me & my wife"
"1758902186-8","https://www.yelp.com/biz/tikka-tangy-saint-louis","Yasasvi T.","Jun 1, 2025","Suwanee, GA","5 star rating","Delicious food, huge portions for the cost, great location and walkable for any CWE resident. Will be coming back regularly!"
"1758902186-9","https://www.yelp.com/biz/tikka-tangy-saint-louis","Erika H.","Sep 15, 2025","Lee's Summit, MO","3 star rating","Ordered the Butter Masala pizza and it was good. My gripes are they skimped on my pizza toppings that were included and eliminated others that should have been on the pizza. They give you up to 6 toppings for your pizza--there were no mushrooms or corn on my pizza at all, nor did they put extra cheese on it (I paid an extra $1.50 for the topping) plus I asked for the 'house spicy seasoning' on the side and it was not included in the box. This was my first time in and willing to try again if they pay more attention to detail when preparing orders."
"1758902186-10","https://www.yelp.com/biz/tikka-tangy-saint-louis","Gigi D.","Jun 4, 2025","Linden, PA","5 star rating","The food was amazing and I wish I could eat this everyday. Naveen was so wonderful with helping us order! The tikka masala chicken pizza was life changing - yummy!"
